#OTUId,5.AV_249,7.AV_360,1.AV_214,3.AV_209
OTU_15,0.623995462,0.603015075,0.018942982,1.071068548
OTU_200,0.274179824,0.245672808,0.132600871,0.516633065
OTU_54,0.727994705,0.424343942,1.74275431,1.713709677
OTU_2,1.399262551,4.634282524,2.10267096,4.221270161
OTU_91,0.302543254,0.960357342,0.81454821,0.491431452
OTU_11,0.11345372,0.156337242,0,4.485887097
OTU_85,0.368724591,0.603015075,0,0.390625
OTU_70,0.784721566,0,0.151543853,0.453629032
OTU_100,0.236361917,0.111669458,0.018942982,0.579637097
OTU_69,0.122908197,0.100502513,0.037885963,0.138608871
OTU_62,0.018908953,0,0,0.025201613
OTU_75,0.519996218,0.5360134,0.511460504,0.201612903
OTU_124,0.122908197,0.111669458,0.094714908,0.201612903
OTU_191,0.02836343,0.044667783,0.075771927,0.012600806
OTU_282,0.037817907,0.011166946,0,0.025201613
OTU_109,0.02836343,0,0.037885963,0.100806452
OTU_134,0.009454477,0,0.018942982,0
OTU_112,0.122908197,0.234505863,0.075771927,0.466229839
OTU_464,0,0,0.018942982,0.894657258
