#OTUId,101.AVd_295,30.AVd_148,34.AVd_166,38.AVd_292,44.AVd_150,48.AVd_167,52.AVd_296,53.AVd_298,99.AVd_290,103.AVd_309,105.AVd_310,11.AVd_99,123.AVd_312,125.AVd_306,127.AVd_307,129.AVd_308,13.AVd_151,16.AVd_168,18.AVd_171,20.AVd_293,22.AVd_299,24.AVd_100,25.AVd_108,28.AVd_153,32.AVd_176,36.AVd_291,40.AVd_109,42.AVd_110,46.AVd_154,50.AVd_170,9.AVd_98,97.AVd_294,Mean recipients 
OTU_15,11.05882353,0.605487228,2.834846313,0.83039236,5.24713467,5.06309394,1.218286863,0.983829017,2.124768376,1.163310962,0.508151599,0,0.795755968,0.33049226,0.966525224,0.560316414,0,3.153208854,0,0.017340038,0.011817537,0.017322016,0.036166365,0,39.72413793,0.037509377,0,0,0,43.47591661,0,0,6.035907693
OTU_200,0.016806723,0.056764428,0.031852206,0.072659332,0.161174785,0.062315002,0.012559658,0.01130838,0,0.23862789,0.148210883,0,0.126310471,0.069577318,0.282885431,0.263678312,0,0,0,0,0,0.017322016,0,0,0,0,0,0,0,0,0,0,0.13764146
OTU_54,0,0.113528855,0,0,0.080587393,0,0.012559658,0,0,0.253542133,0.169383866,0,0.113679424,0.173943294,0.919377652,0.494396836,0,0,0,0,0,0,0.036166365,0,0,0,0,0,0,0,0,0,0.261622869
OTU_2,0.033613445,0,0,0,0.053724928,0,0,0,0,16.58463833,19.66970146,0,16.06669193,20.92537833,10.72607261,16.94133158,0.012017786,0,0,0,0,0.017322016,0,0,0,0.012503126,0,0,0.010166734,0,0.009823183,0,0.038521243
OTU_91,0,0.018921476,0,0.051899523,0,0,0.012559658,0,0,0.044742729,0,0,0,0,0,0,0.012017786,0,0,0,0,0.121254114,0,0,0,0.050012503,0,0,0.020333469,0,0,0,0.038521243
OTU_11,0,0.340586566,0,0,0.626790831,0,0,0,0,1.133482476,0.719881431,0,2.27358848,0.64359019,0.919377652,1.137112722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.974301294
OTU_85,0,1.419110691,0,0,1.334169054,0,0.38934941,0.033925139,0,1.148396719,1.058649164,0,0.492610837,0.295703601,1.249410655,0.444957152,0,0.012365525,0,0,0,0,0,0,0,0.037509377,0,0,0.010166734,0,0,0,0.718526527
OTU_70,0,0,0,0.031139714,0,0,0,0.01130838,0,1.088739746,1.566800762,0,1.187318429,1.217603061,1.673738802,1.120632828,0,0,0,0,0,0,0,0,0,0.025006252,0,0,0.010166734,0,0,0,0.988872449
OTU_100,0,0,0,0.010379905,0.223853868,0,0,0,0,0.417598807,0.338767732,0,0.164203612,0.139154636,0.353606789,0.36255768,0,0,0,0,0,0,0,0,0,0.037509377,0,0,0,0,0.009823183,0,0.254656563
OTU_69,0,0.132450331,0,0,0.223853868,0,0,0,0,0.164056674,0.148210883,0,0,0,0.919377652,0.263678312,0,0,0,0,0,0,0,0,0,0,0,0,0.010166734,0,0,0,0.30860462
OTU_62,0,0,0,0,0.026862464,0.015578751,0,0,0,0.014914243,0.232902816,0,0.126310471,0.104365977,0.11786893,0.115359262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.120611653
OTU_75,0,0.037842952,0,0,0.608882521,0,0,0,0,0.23862789,0.275248783,0,0.202096754,0.347886589,0.400754361,0.280158207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.298937257
OTU_124,0,0.094607379,0,0.020759809,0.044770774,0,0.288872143,0.203550831,0,0.104399702,0.105864916,0,0.037893141,0.156548965,0.282885431,0.098879367,0,0,0,0,0,0,0,0,0,0.050012503,0,0,0,0,0,0,0.133480468
OTU_191,0,0.056764428,0,0,0.107449857,0,0,0,0,0.059656972,0,0,0.17683466,0.191337624,0.094295144,0.148319051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.119236819
OTU_282,0,0,0,0,0,0,0,0,0,0.134228188,0.021172983,0,0.050524188,0.034788659,0.047147572,0.082399473,0,0,0,0,0,0,0,0,0,0.012503126,0,0,0.010166734,0,0,0,0.069817616
OTU_109,0,0.775780511,0,0,0.143266476,0,0,0,0,2.535421327,2.074952361,0,2.084122774,2.365628805,1.131541726,1.763348715,0,0,0,0,0,0,0,0,0,0.012503126,0,0,0,0,0,0,1.609257837
OTU_134,0,0.264900662,0,0,0.062679083,0,0,0,0,1.208053691,1.355070929,0,2.008336491,1.200208732,1.178689298,1.549110086,0,0,0,0,0,0.017322016,0,0,0,0,0,0,0,0,0.009823183,0,1.103381122
OTU_112,0,0.094607379,0,0.020759809,0.537249284,0,0.012559658,0,0.024706609,0.313199105,0.06351895,0,0.050524188,0.121760306,0.306459217,0.461437047,0,0,0,0,0,0,0,0,0,0.162540635,0,0,0,0,0,0,0.234588457
OTU_464,0,0.037842952,0,0.031139714,0.116404011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.062515629,0,0,0,0,0,0,0.061975576
