#OTUId,5.AV_249,7.AV_360,1.AV_214,3.AV_209,Mean Donors
OTU_200,0.274179824,0.245672808,0.132600871,0.516633065,0.292271642
OTU_54,0.727994705,0.424343942,1.74275431,1.713709677,1.152200659
OTU_2,1.399262551,4.634282524,2.10267096,4.221270161,3.089371549
OTU_91,0.302543254,0.960357342,0.81454821,0.491431452,0.642220064
OTU_8,0.623995462,0.625348967,0.170486835,1.121471774,0.635325759
OTU_85,0.368724591,0.603015075,0,0.390625,0.340591167
OTU_70,0.784721566,0,0.151543853,0.453629032,0.347473613
OTU_130,0,0.022333892,0,0.037802419,0.015034078
OTU_100,0.236361917,0.111669458,0.018942982,0.579637097,0.236652864
OTU_69,0.122908197,0.100502513,0.037885963,0.138608871,0.099976386
OTU_62,0.018908953,0,0,0.025201613,0.011027642
OTU_75,0.519996218,0.5360134,0.511460504,0.201612903,0.442270756
OTU_124,0.122908197,0.111669458,0.094714908,0.201612903,0.132726367
OTU_37,0.094544767,0.111669458,0.075771927,0.756048387,0.259508635
OTU_191,0.02836343,0.044667783,0.075771927,0.012600806,0.040350987
OTU_282,0.037817907,0.011166946,0,0.025201613,0.018546616
OTU_109,0.02836343,0,0.037885963,0.100806452,0.041763961
OTU_470,0.009454477,0,0.094714908,0.063004032,0.041793354
OTU_134,0.009454477,0,0.018942982,0,0.007099365
OTU_112,0.122908197,0.234505863,0.075771927,0.466229839,0.224853956
